[2026-07-22T07:58:36Z] launch attempt 1/4: /hy-tmp/envs/rsp-vsr/bin/python -u continual_adapt.py output_dir=/hy-tmp/experiments/rsp_vsr/chinese_lips_test_strict_nofeedback_3seed/single_adapter_nofeedback_seed42 data_root_dir=/hy-tmp/cn_dataset/chinese_lips/chinese_lips stream_manifest=/hy-tmp/datasets/manifests/chinese_lips_test_model_vocab_seed42.jsonl checkpoint_path=/hy-tmp/rsp-vsr/VSR/pretrained_models/model_avg_cncvs_2_3_cnvsrc.pth plasticity.mode=single_adapter feedback.every=0 log_every=25 checkpoint_every=100 checkpoint_file_limit=3 metrics_history_every=25 checkpoint_selection_metric=mean_reliability seed=42 
/hy-tmp/envs/rsp-vsr/lib/python3.10/site-packages/lightning_fabric/__init__.py:29: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  __import__("pkg_resources").declare_namespace(__name__)
持续适应设备：cuda:0
/hy-tmp/envs/rsp-vsr/lib/python3.10/site-packages/torch/_utils.py:776: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
已处理 25 条，CER=0.615819209039548，专家数=1
已处理 50 条，CER=0.555352241537054，专家数=1
已处理 75 条，CER=0.5569377990430622，专家数=1
已处理 100 条，CER=0.5517806935332709，专家数=1
已处理 125 条，CER=0.5545539906103286，专家数=1
已处理 150 条，CER=0.553978159126365，专家数=1
已处理 175 条，CER=0.5543156762570584，专家数=1
已处理 200 条，CER=0.5602380952380952，专家数=1
已处理 225 条，CER=0.5710148036901952，专家数=1
已处理 250 条，CER=0.5738479716423789，专家数=1
已处理 275 条，CER=0.5767176609034127，专家数=1
已处理 300 条，CER=0.5854229354730859，专家数=1
已处理 325 条，CER=0.5890804597701149，专家数=1
已处理 350 条，CER=0.5925443358668114，专家数=1
已处理 375 条，CER=0.5971967068109137，专家数=1
已处理 400 条，CER=0.6193473792394656，专家数=1
已处理 425 条，CER=0.6400217838557425，专家数=1
已处理 450 条，CER=0.6583138306980992，专家数=1
已处理 475 条，CER=0.6736415247364153，专家数=1
已处理 500 条，CER=0.6862987581800382，专家数=1
已处理 525 条，CER=0.6989421099030267，专家数=1
已处理 550 条，CER=0.7104317386231038，专家数=1
已处理 575 条，CER=0.7203998750390503，专家数=1
已处理 600 条，CER=0.7163786148031763，专家数=1
已处理 625 条，CER=0.7084193065501476，专家数=1
已处理 650 条，CER=0.7025664883306195，专家数=1
